tweet,tweet translated,sentiment
"Wy zróbcie samokrytykę,a nie tylko rozkradawac Polskę.","You do self -criticism, not just stealing Poland.",negative
"A Pan Borys to taki śmieszek jest,
To fanatycy z totalnej opozycji nie uznają werdyktu suwerena, nie przestrzegają konstytucji jak i dopuścili się próby zamachu stanu w Sejmie.
Nie zasługujecie aby rządzić jakimkolwiek krajem.","And Mr. Borys is such a funny 
 It is fanatics from the total opposition that do not recognize the verdict of the sovereign, do not follow the constitution and committed attempts to assassination of the state in the Sejm. 
 You don't deserve to rule any country.",negative
"to wasi - towarzyszu- poplecznicy robili burdy uliczne po przegranych wyborach!!! Myślisz,  że zapomnieliśmy?",This is your - companion - the supporters made street brawls after losing elections !!! Do you think we have forgotten?,negative
"Tak to jest z lewakami wszelkiego pokroju drogi Borysławie,  wnuczku tow. Wiesława...","This is how it is with the leftists of all the way Borysław, the grandson of Comrade Wiesław ...",negative
"Opozycja okupuje salę obrad Sejmu, manifestacje pod parlamentem

Manifestanci demonstrowali przez całą sobotę przed Sejmem. Budynek parlamentu otaczał szczelny kordon policji. Wszystkie wejścia na teren Sejmu były zablokowane.

Pisze opozycja czy PIS...KRETYNIE z IQ krewetki","The opposition occupies the Sejm meeting room, manifestations under the parliament 

 The demonstrators demonstrated all Saturday before the Sejm. The parliament building was surrounded by a tight police cordon. All entries to the Sejm were blocked. 

 Writes opposition or PiS ... moron with IQ shrimp",negative
A to nie wy zasrańce chcieliście wyprowadzać silnymi ludźmi urzędników państwowych? Weź ty się je.nij codziennie z rana w ten pusty sagan może kiedyś coś w nim zaskoczy i przestaniesz bredzić hipokryto,"And it wasn't you, that the salinists wanted to lead with strong people of government officials? Take them. Each every day in the morning in this empty sagan, maybe someday something will surprise him and you will stop raving hypocrite",negative
Ale z ciebie debil!,But you are a moron!,negative
tow Diduszko żyw!,Tow Diduszko Żyw!,negative
"śp zatruty ""bochater ""ciamajdanu co żona go ożywiła ""wstawaj TVN nagrał.","The śp poisoned ""lockter"" of the Ciamjdan what his wife enlivened him ""Get up TVN recorded.",negative
"A wasz ciamajdan to co to było? Wiem nie ma sie czym chwalić, bo jednak obrazki z Brazylii dużo bardziej emocjonujące, jednak jaka opozycja taki pucz 🤷‍♂️
Wychodzi na to że czego się nie dotkniecie zamienia się w... kabaret 😉","And your Ciamjadan what was it? I know there is nothing to brag about, because pictures from Brazil are much more exciting, but what opposition such a couple 🤷‍♂️ 
 It turns out that what you do not touch turns into ... cabaret 😉",negative
👍🎯👊,Ressive,positive
Kobiety? Zwykła chołota zdemoralizowanych nastolatek potrafiących jedynie wykrzykiwać JEBAC,Women? Ordinary chołota demoralized teenagers who can only shout fucking,negative
💪,💪,positive
Budka ty chu.u,Booth you chi.,negative
Twojej głupoty,Your stupidity,negative
"Zdecydowanie 
Tak też to oceniam","Definitely 
 I evaluate it so too",positive
Raczej wy niezasługujecie banda złodzieji i debili a ty jestes tego przykladem lysa palo,"Rather, you would not deserve a bunch of thieves and morons and you are an example of Lysa Palo",negative
To było po? Przed był incydent z posłem,It was PO? There was an incident with a deputy before,neutral
Wypisz wymaluj PO i spółka - czyli opozycja i jej nieudane i niedemokratyczne próby obalenia demokratycznie wybranego rządu.,Write down PO and the company - the opposition and its unsuccessful and undemocratic attempts to overthrow the democratically chosen government.,negative
Zapomniał Pan o ataku na budkę po ruską ambasadą,You forgot to attack the booth after the Russian embassy,negative
***** Łukasza!!!,***** Łukasz !!!,neutral
O tornadach i kokluszu Waść dodać zapomniał 🙄,He forgot about the tornadoes and the cockle,negative
"Cóż, widocznie tylko tak lewactwo można pogonić. Z zarazą walczy się stanowczo, bo inaczej się rozpleni.","Well, apparently only such leftism can be chased. The plague fights firmly, otherwise it is spreading.",negative
Tak działa lewica jak im koryto zabiorą kłamią i podburzają ludzi,This is how the left works as they take the troughs with a lie and stir people,negative
Tak jak wy.,Just like you.,negative
O odezwał się prawdziwy populista tak wspólny mianownik dla prawych populistów czyli po nie morze rządzić żadnym krajem szczególnie Polska bo to organizacja przestępczą czyli aryjska i ruska mafia,"Oh, a real populist said such a common denominator for the right populists, i.e. the sea to rule any country, especially Poland because it is a criminal organization or Aryan and Russian mafia",negative
To idź się leczyć.,Then go to heal yourself.,negative
"Ulica będzie, jeśli kaczytler zrobi przy wyborach choćby jeden szwindel. Jeden",The street will be if Kadzadler makes at least one fake in the election. One,positive
Wasze rządy już Polacy w 2015r zamienili was na lepszy model.,"In 2015, your governments have already exchanged you for a better model.",negative
"Sorry a co robiła totalna opozycja z KO - czytaj zawsze Izrael bis w Polsce i żydowska stacja tvn24 w Sejmie, a taki pan Ryszard pojechał z kochanką na urlop … też robiliście zamach stanu w Polsce !!! Coś z pamięcią już źle ? To mniej trzeba pić","Sorry and what was the total opposition with KO - always read Israel Bis in Poland and the Jewish TVN24 station in the Sejm, and such Mr. Ryszard went on vacation with your lover ... You also did a coup in Poland !!! Something wrong with memory? You have to drink less",negative
to kiedy rozwiązujecie PO?,So when do you solve PO?,negative
Weź Pan łopatę i się w ten pusty łeb walnij.,Take the shovel and hit this empty head.,negative
O Ty mały kłamczuszku,Oh you little liar,negative
"Budka budka 😆 rządzić to Ty sobie możesz ta Twoja agresywna myszką z ""nowoczesnej patologii"" 😂","Budka Budka 😆 Govern you, you can be your aggressive mouse from ""modern pathology"" 😂",negative
Pełowcowi pamięć ulotniła się z włosami,The full -time memory has evaporated with his hair,negative
Najgłupszy poseł w historii parlamentaryzmu w Polsce.,The stupidest MP in the history of parliamentarism in Poland.,negative
Wy zasługujecie 🤮,You deserve 🤮,negative
A ty rządzisz?,And you rule?,negative
To wy chcecie siłą wyprowadzać  Glapinskiego z NBP i na ulicę wychodzić. Pis kiedykolwiek  nawoływał do takich zachowań? W łeb się  pierdolnij zanim coś  napiszesz.,You want to move Glapinski from the NBP and go out on the street. PiS has ever called for such behavior? Fuck you in the head before you write something.,negative
Wy też nie zasługujecie po cyrkach i puczach jakie robiliście,You also do not deserve the circuses and the couches you did,negative
"A to nie Ty obalaleś
Rząd w 2015 roku w Sejmie?","And this is not you refute 
 The government in 2015 in the Sejm?",negative
Ślązacy mają bekę z Sosnowca i okolic i coś w tym jest jak takie przygłupy i reprezentują.,The Silesians have a beca from Sosnowiec and the surrounding area and there is something like it as fools and represent.,negative
"Stad pioruny, bieganie durnia z siatka przy granicy czy podwazanie DEMOKRATYCZNIE wybranego rzadu. Pisu nienawidze. Pisem GARDZE! Ale wy wcale lepsi nie jestescir PIS PO jedno zlo! Won","Hences of lightning, running a fool with a net at the border or undermining a democratically chosen government. I hate PiSu. I get it! But you are not better at all, PiS for one zlo! Won",negative
"BTW... jak wydedukowałeś, że popieram PO? XD",Btw ... how did you deduce that I support PO? xD,neutral
"Borys, a kto robił burdy pod sejmem? To nie był brak szacuneku dla instytucji publicznych","Borys, who did the brawls under the Sejm? It was not a lack of respect for public institutions",negative
"Nie, bo nie popieram PiS, tylko ***** PO, a to ty popierasz partię w której przeważają osoby z zaledwie wykształceniem podstawowym i na którą głosuje ponad 80% osadzonych w zakładach karnych i aresztach.","No, because I do not support PiS, but ***** PO, and you support the party in which people with only basic education prevail and for which over 80% of prisoners in prisons and arrests vote.",negative
A dobrze pamitisz coscie wyprawiali i to wszycko się zgodzo  łgarze,"And you remember well, they were doing all and all the crazy people agreed",negative
"I znowu jatka pisowców z.peowcami. Gawiedzi się podnieca a chłopaki ramię w ramię po kawałku sprzedają nas i pchają w łapska globalistów. Dopóki nie zrozumiecie wyznawcy PiS i PO , że to takie same dno i nie pogonicie tych namiestników, to polski nie będzie. Będzie tylko Polin.","And again the Jatka Pisces Z.Per. Gaviians are excited and the boys shoulder in a piece sell us and push us in the globalists. Until you understand the PiS and PO followers that it is the same bottom and you will not chase these governors, it will not be Polish. There will be only Polin.",negative
O wwożeniu w bagażniku jakichś bliżej nieznanych ludzi na teren polskiego parlamentu nie wspominając,Not to mention bringing some unknown people in the trunk in the trunk,negative
No i zmartwychwstanie Diduszki na ulicach Warszawy w kłębach dymu.,And the resurrection of Diduszki on the streets of Warsaw in a cloud of smoke.,negative
Po bandzie żeś chłopie pojechał. Aż się nie chce pisać z kim masz wspólny mianownik. Zdradzisz sam kiedyś🧐,After the gang that you went man. You don't want to write with whom you have a common denominator. You will reveal one day 🧐,negative
Pan świetnie opisał totalną opozycję w Polsce :),The Lord described the total opposition in Poland :),negative
To są ludzie bez honoru i poczucia przyzwoitości.,These are people without honor and a sense of decency.,negative
"To wy jesteście specjalistami od zamieszek i robienia burd w Sejmie. Już pan zapomniał, amnezja?","You are specialists in riots and making brawls in the Sejm. Have you forgotten, amnesia?",negative
Daj Pan już sobie spokój i nie ośmieszaj się Pan.,Give yourself a break and don't ridicule yourself.,negative
Jakie wybory to oszustwo to samo miało być u nas wprowadzić wybory kopertowe  i  zero szans na uczciwe wybory,What elections were the same fraud was to introduce envelope elections and no chances for fair elections,negative
"Bo przecież:
""Brak szacunku dla instytucji publicznych, nieuznawanie demokratycznych rozstrzygnięć, strach  przed wyborczą porażką to wspólny mianownik dla „prawych” populistów. Oni nie zasługują, by rządzić jakimkolwiek krajem.""
Chyba nie jesteś ""prawym"" populistą?","Because: 
 ""Lack of respect for public institutions, not recognizing democratic decisions, fear of electoral failure is a common denominator for"" right ""populists. They do not deserve to rule any country."" 
 Are you not a ""right"" populist?",negative
Borys krejzolu xD Ty jak już coś napiszesz to naprawdę można zrobić kloca ze śmiechu xD,"Borys krejzol xd you when you write something, you can really make a block with laughter xD",negative
"Budka, przecież Ty opisałeś dokładnie to co robi i robiła obecna opozycja.","Budka, after all, you described exactly what the current opposition is doing and did.",negative
🤣🤣🤣,🤣🤣🤣,negative
"Don Diego de la Vega, wyręczłeś mnie - dzięki.😀😉","Don Diego de la Vega, you did me - thanks.",neutral
"Przypomnij sobie rządy Salvadora Allende w Chile. Tak właśnie wyglądają rządy takich cwaniaczków jak Ty i Tobie podobnych. Czy to z PO, PSL, Lewicy czy PiS.","Remember the rule of Salvador Allende in Chile. This is what the rule of crafters like you and you like you. Is it from PO, PSL, Left or PiS.",negative
"Ciamajdan, Ciamajdan, Ciamajdan!🤣🤣🤣🤣","Ciamjajdan, Ciamajdan, Ciamajdan! 🤣🤣🤣🤣",negative
zmień obywatelstwo na Brazylijskie i przestań sie ośmieszać.,Change citizenship to Brazilian and stop making fun.,negative
Wylazłaś znowu z tej swojej budy i szczekasz ?,Did you go out of your kennel again and you bark?,negative
"Nie zgadzam się tym, że jesteście prawi, natomiast z dalszą częścią wypowiedzi już tak.","I do not agree that you are righteous, but with the rest of the speech yes.",negative
👏👏👏,👏👏👏,positive
I co było dalej ?  Zobaczymy w którym miejscu zaczniesz konfabulować,And what happened next? We'll see where you will start confabulating,negative
Budka jesteś typowy HIPOKRYTA,Budka you are a typical hypocrite,negative
A weź Ty spierdalaj.,And take you fucking.,negative
No jak o co ? Szanuje instytucje publiczną,How about what? Respects public institutions,neutral
"Jesteś twarzą instytucji publicznej, jak więc śmiesz domagać się szacunku. Ty i twoi kolesie z której bądź strony zasługujecie na jedyny szacunek - więzienie zamiast rozstrzelania.","You are the face of a public institution, so you dare to demand respect. You and your guy from which you or the page deserve the only respect - prison instead of being shot.",negative
Jak można być takim głupcem?? Jak można się tak ośmieszać?,How can you be such a fool ?? How can you ridicule yourself?,negative
🤣🤣🤣🤣🤣,🤣🤣🤣🤣🤣,negative
Borys znów się zesrałeś 🤦‍♂️😂😂😂,Borys you have slid again 🤦‍♂️cut,negative
Właśnie czy pamiętasz żeby spodnie założyć 🤦‍♂️,Just if you remember to put on your pants 🤦‍♂️,negative
"Teraz pewnie się zastanawiasz dlaczego na ciebie tak psychiatrzy patrzą…
Zgadnij 🤣","Now you are probably wondering why psychiatrists look at you ... 
 Guess 🤣",negative
Ameba i tyle w temacie,Ameba and that's it in the subject,negative
No wasza metoda...,Well your method ...,negative
W samo sedno,In the point,positive
"Na „ty” to tramwaj staje, a ty jesteś idiotą, albo co gorsza masz się za tego co ma racje, to jest w takim razie sprawa dla lekarzy…","On ""you"" this tram stands, and you are an idiot, or worse, you are for what is right, then it is a matter for doctors ...",negative
Pokłada pan zbyt dużą nadzieję w ludzi.,You put too much hope in people.,positive
"To nie ""prawi populiści"". To kasa Putina zrobiła, rzesze ruskich trolli za srebrniki z Gazpromu. Ta sama historia w Katalonii, Szkocji, z Brexitem i wyborem Trumpa. Ludzie, jak to ludzie. Część łatwo łyka.","It's not ""right populists"". It was Putin's cash register who made crowds of Russian trolls for Gazprom silver. The same story in Catalonia, Scotland, with Brexit and the choice of Trump. People, like people. Some are easily sip.",neutral
PO smiewisko robilo to samo po przegranych wyborach w 2015...,"After a laugh, he did the same after losing the elections in 2015 ...",negative
"To wszystko co Szanowny Pan Poseł napisał ""Brak szacunku dla instytucji publicznych, nieuznawanie demokratycznych rozstrzygnięć, strach  przed wyborczą porażką"" to Wasze oblicze przez ostatnie lata, widać że pod względem odwracania rzeczywistości jesteście mistrzami.","This is all that the MP wrote ""disrespect for public institutions, not recognizing democratic decisions, fear of electoral failure"" is your face in recent years, you can see that in terms of reversing reality you are masters.",negative
"Tak postępujecie po przegranych wyborach,mafijni zdrajcy!!","This is how you do after losing elections, mafia traitors !!",negative
"Ty i ta cała wasza śmieszna opozycja możecie jedynie ""żondzidź"".","You and all your funny opposition can only be ""wife"".",negative
"Zapomniałeś już że to Ty popierasz partię zrzeszającą najsłabiej wykształconych, głąbie xDDD","You have already forgotten that you are the one who supports the balanced party, the depths of XDDD",negative
Podaj przykład kłamstwa.,Give an example of a lie.,neutral
Za to non-stop oglądasz na tablecie lub smarphonie głąbie. 🤣,"Instead, you are watching a non-stop on a tablet or smart smart. 🤣",negative
"Najgorsze w obecnej polityce jest to, że można tak w żywe oczy , bezkarnie kłamać.",The worst in current policy is that you can lie in vivid eyes with impunity.,neutral
"To mówię JA, Budka😤","I say that, Budka😤",negative
"To było właśnie ""nieuznawanie demokratycznych rozstrzygnięć"".","It was ""not recognizing democratic decisions"".",negative
"Przypomnij Pan sobie Waszą okupację Sejmu. Rozdwojenie jaźni da się leczyć, zapytaj Pan Klicha.","Remember your occupation of the Sejm. A split of self can be treated, ask Mr. Klich.",negative
Przeniósł obrady do sali kolumnowej,Moved the meeting to the column hall,neutral
Panie Budka a pamięta pan ciamajdan i marsze pierdolnietych błyskawic.,Mr. Budka and you remember Mr. Ciamajdan and marches of fucked lightning.,negative
"Zdaję się, że polityka kłamstwa używanego socjotechnicznie skończyła się blamażem i ichniejszy premier przyznawał i przepraszał. U nas nikt nie przeprosi?",I think that the policy of the lies used sociotechnically ended in a flic and their prime minister admitted and apologized. Nobody will apologize with us?,neutral
"Panie Butka, czy ma Pan amnezję? naprawiać Świat proszę zacząć od siebie i swojej partii P. O.Także i od waszej przybudòwki, '' Kod''u My Polacy pamiętamy jak blokowaliście parlament i co wyprawiacie dzisiaj razem z waszyn Guru Tuskiem. Pamięć nas nie zawodzi. Na kolana człowieku","Mr. Butka, do you have amnesia? Reflect the world, please start with yourself and your party P. o., and with your annex, '' 'we Poles, we remember how you blocked parliament and what you are doing today with the Waszyn Guru Tusk. Memory does not disappoint us. On the knees of man",negative
Boże! Chroń Polskę przed powrotem do władzy POpaprańców 🙏🙏🙏,God! Protect Poland from returning to power,negative
Ale to samo robił kod w Polsce kilka lat temu,But the code did the same in Poland a few years ago,negative
Twój profil to stadium schorzenia zwanego niedokurwieniem mózgowym.,Your profile is a stage of a disease called cerebral underdevelopment.,negative
Doprawdy pan jest debilem...,You really are a moron ...,negative
Nie mam tv xD,I don't have tv xD,neutral
"Stary ,głupi sklerotyk z ciebie Borys,to przecież opis działania twojego ugrupowania.","A old, stupid sklerotic Boris is a description of your grouping.",negative
"Patrz Pan na ""jedziemy""","Look at ""we are going""",negative
"Może My też pójdziemy za przykładem sojusznika z za Wielkiej Wody,bo przecież z łatwością i lekkością motyla przyswajamy wszystko to co Amerykanskie i na Belweder zaopatrzeni w druzgocącą broń pomidorowo-ogorkowo.A wyjdzie do nas starców Pani Delag prezentując swoje aktorstwo?","Maybe we will also follow the example of an ally from behind great water, because with the ease and lightness of the butterfly we absorb everything that is American and on the Belvedere provided with a devastating tomato-towering weapon. And will the old people come out to us, Mrs. Delag by presenting her acting?",negative
Wolny rynek. Tv trwam tez swoje gada,Free market. Tv is also your reptile,neutral
"Gdyby rzad Braztli szanowal ludzi to pewnie by nic takiego nie bylo. A jak sie pan boi to prosze odejsc z polityki, wszystkim to wyjdzie na lepsze","If the government of Brazil respected people, there would probably be nothing like that. And if you are afraid, please leave the politics, everyone will come out for the better",negative
"Ty jesteś kurwa naćpany, czy masz ciężką schizofrnię❓","You are fucking, do you have heavy schizophrenia❓",negative
Oskarku dziecko... twoja zgoda jest brana pod uwagę przy wietrzeniu twojego pokoju...,Oskarzku child ... Your consent is taken into account when you ventilate your room ...,negative
"Łukaszu, jesteś debilem, czy zwykłym chujem?","Łukasz, are you a moron or ordinary dick?",negative
"Zrobmy im przykrosc, i powtorzmy wygrana jak w 2015 roku 🤣🤣🤣👏👏👏",Let's make them unpleasant and repeat the win as in 2015 🤣🤣🤣👏👏👏,negative
"Paranoik ,pan nie powinien nigdy rządzić","Paranoik, you should never rule",negative
Budka zdradził swój plan po przegranych wyborach. Trzeba zapamiętać i przygotować środki zaradcze.,Budka revealed his plan after losing elections. You have to remember and prepare remedies.,negative
"Kurwa pajacu ty, zapomniałeś jak ty i twoje ugrupowanie szanowało instytucje publiczne w sejmie w 2016? Zapomniałeś już jak Szczerba wpierdalał wigilijny pasztet? O czym ty teraz tutaj piszesz?","Fuck you, you forgot how you and your grouping respected public institutions in the Sejm in 2016? Have you forgotten how Szczerba fused the Christmas Eve pate? What are you writing here now?",negative
"Skopiował przykazania Platfonsow, dodał adresata i gotowe","He copied the commandments of Plafons, added the addressee and ready",negative
Ty wszystko wiesz lepiej z pasków TVNieprawda.,You know everything better from TVP stripes not true.,negative
Wy się nie nadajecie do niczego.,You are useless.,negative
"Odszedłeś z PO, fałszywy wieprzu? Szef zadowolony nie będzie, że opisujesz wasze działania w internecie.","Did you leave the PO, false pork? The boss will not be happy that you describe your activities on the internet.",negative
Bardzo dobrze Marek piszesz.,You write very well.,positive
"I jeszcze ,, Ciamajdan ""","And still ""Ciamjajdan""",negative
Wszyscy ludzie na całym świecie powinni pogonić polityków i powsadzać do więźnia za całą masę oszustw i świństw które robią ludziom. Amen,All people around the world should chase politicians and send to the prisoner for a whole bunch of fraud and pigs that people do. Amen,negative
"Aha czyli prywatna może mówić co chce, tudzież nie całą prawdę lub kłamać, bo musiałaby przekazać czasem cos dobrego o rządzących. To jest ten triumf demokracji i wolność? Wam się już wszystko po*ebalo.","Oh, or private can say what he wants, and not all the truth or lie, because she would sometimes have to convey something good about the rulers. This is this triumph of democracy and freedom? You are all after*ebalo.",neutral
Rządzić czy służyć?,Rule or serve?,neutral
Piękna samokrytyka. Wam kury prowadzać... nie politykę robić.,Beautiful self -criticism. You run chickens ... don't make politics.,negative
A ten jak zwykle strzał w kolano...,"And this shot in the knee, as usual, ...",negative
"Budka,
Pamiętasz, łysy gnomie, jak robiliście ""pucz"" w polskim Sejmie i blokowaliście mównicę ? ...
... Mucha śpiewała swoje ""rewolucyjne pieśni"" podczas tej ""okupacji""  a Tusk już czekał we Wrocławiu na ""przejęcie"" władzy w Polsce przez PO ! 🤣","Shed, 
 Do you remember, bald gnome, how did you make a ""coup"" in the Polish Sejm and blocked the rostrum? ... 
 ... Mucha sang his ""revolutionary songs"" during this ""occupation"" and Tusk was already waiting in Wrocław for ""taking over"" power in Poland by PO! 🤣",negative
Wielkie ego i mały mózg. Tylko tyle pan z tego umie wywnioskować?,Great ego and a small brain. Only you can deduce this?,negative
Ciamajdan,Ciamhadan,negative
Ale oni legalnie (niestety) wygrali. Demokracja w ząbki kole?,But they legally (unfortunately) won. Democracy in the teeth of the wheel?,negative
"Prawy populista D. Tusk: ""na ulicy się zorganizujemy, jeśli ta władza nie zniknie"" .
😂😂😂","Right Populist D. Tusk: ""We will organize ourselves on the street if this power does not disappear."" 
 Rol",negative
"A nie przyszło Panu do głowy, że gdyby nie było prawych populistów, rozumiem że to epitet i tylko lewactwo rządziłoby na świecie, to ci najmniej postępowi i najmniej lewicowi byliby nazywani „prawymi” (jak teraz PiS) i cała ta lewica zjadała by się od ogona aż nie zostało by nic?","And it did not occur to you that if there were no righteous populists, I understand that it was an epithet and only leftism would rule in the world, then the least progress and the least leftist would be called ""right"" (as PiS now) and the whole left would eat from The tail wouldn't be left?",negative
Pierdol się kłamliwy folksdojczu🖕🖕🖕,Fuck a lying folksdojczu🖕🖕🖕,negative
Ale ty wiesz że to zaczęliście pucz 2016 póżniej USA 2020 a teraz Brazylia nie wstyd tobie takie kocopały pisać czy pamięć uszkodzoną masz,But you know that you started the coup 2016 later in the USA 2020 and now Brazil is not ashamed to write such a kitten or damaged memory you have,negative
Zrównali cię z ziemią🤭. Następnym razem zanim coś wrzucisz to się 5 razy zastanów kurduplu.,"They raised you with the ground. Next time before you throw something, think 5 times Kurduplu.",negative
"Wychodzi na to, że ci, co atakowali Kapitol (2021r.) i teraz wywołują zamieszki w Brazylii, wzorują się na polskiej opozycji specjalnej troski, która jako pierwsza zaczęła robić bardachę, o której głośno na świecie. Brawo, w końcu Wam coś wyszło, inne oszołomy się na Was wzorują.","It turns out that those who attacked the Capitol (2021) and now cause riots in Brazil, modeled on the Polish opposition of special care, which was the first to make a bardach, which loudly in the world. Bravo, you finally got something, other fools are modeled on you.",negative
Ale ta mafia wyprała im mózgi aż mi ich żal.,But this mafia washed their brains until I feel sorry for them.,negative
"Tak wiemy, wszystko ""wina PiS'u"" 🤦🤦🤦, niech Pan dorzuci jeszcze wybuchy wulkanów, będzie bardziej""wiarygodnie"". 😂😂😂😎","We know so, everything ""PiS's wine"" 🤦🤦🤦, add more volcano explosions, it will be more ""reliable"". Rol",negative
Twój profil to schemat typowego debila.,Your profile is a typical moron scheme.,negative
To prawda pamiętamy,That's true we remember,neutral
Diety i inne uposażenia do zwrotu!,Diets and other salaries to return!,neutral
"Obrazek, który jest wart milion słów!!!",A picture that is worth a million words !!!,neutral
Oszołomem i debilem! Bo każdy oszołom to debil! :),A stunning and a moron! Because every fool is a moron! :),negative
"Tak pamiętamy, pan poseł Pupka i poseł Dupka, czy jakoś tam!","That's how we remember, Mr. Pupka and MP Dupka, or somehow!",negative
"Powiedział to, pierwszy hipokryta.","He said that, the first hypocrite.",negative
"""Nieuznawanie demokratycznych rozstrzygnięć""??? A to przypadkiem nie o was chodzi ??? Toż to lustrzane odbicie polskiej opozycji, wypisz. wymaluj !","""Not recognizing democratic decisions"" ??? And this is not about you ??? This is the mirror reflection of the Polish opposition, write down. Paint!",negative
"Tramp dał przykład jak postępować, a uczył się widocznie u samego bandyty i mordercy Putina. Nauki pobierał też u nich sam guru PiS i podobny scenariusz szykuje dla Polski.
Chamska hołota z PiS nie odda władzy pomimo tego, że przegra wybory, które sfałszuje bojąc się procesów.","Tramp gave an example of how to act, and apparently studied with the bandit and murderer Putin. They also took their sciences himself with the PiS guru and a similar scenario is preparing for Poland. 
 The chamska tribute from PiS will not give away power despite the fact that he will lose the election, which falsifies the processes.",positive
Sorry a co mówi pana firer i folkzdojcz w Polsce ?,Sorry and what does Mr. Firer and Folkzdojcz say in Poland?,negative
I skąd ja to znam 🤔,And how do I know this 🤔,neutral
Nie pucz kiedy odjadą,Don't let when they leave,neutral
W bezczelności Budka nie ma sobie równych.,"In the insolence, the booth is second to none.",negative
